Unnamed: 0,character,line,movie
3194,THE OTHER,"The Tesseract has awakened. It is on a little world, a human world. They would wield its power. But our ally knows its workings as they never will. He is ready to lead. And our force... ...our Chitauri, will follow. The world will be his...the universe, yours. And the humans, what can they do but burn?",The Avengers
3195,INTERCOM VOICE,"All personnel, evacuation order has been confirmed. Proceed to your designated vehicles... ...for all campus evacuation. This is not a drill. Emergency personnel proceed to your designated vehicles for all campus evacuation.",The Avengers
3196,NICK FURY,How bad is it?,The Avengers
3197,PHIL COULSON,"That’s the problem, sir. We don’t know. Doctor Selvig read an... ...energy surge from the Tesseract four hours ago.",The Avengers
3198,NICK FURY,NASA didn’t authorize Selvig could go to test B.,The Avengers
3199,PHIL COULSON,He wasn’t testing it. He wasn’t even in the room. Spontaneous event.,The Avengers
3200,MARIA HILL,It just turned itself on?,The Avengers
3201,NICK FURY,Where are the energy levels now?,The Avengers
3202,PHIL COULSON,Climbing. When Selvig couldn’t shut it down we ordered evac.,The Avengers
3203,NICK FURY,How long to get everyone out?,The Avengers
3204,PHIL COULSON,Campus should be clear in the next half hour.,The Avengers
3205,NICK FURY,Do better.,The Avengers
3206,MARIA HILL,"Sir, evacuation may be futile. ",The Avengers
3207,NICK FURY,We should tell them to go back to sleep?,The Avengers
3208,MARIA HILL,If we can’t control the Tesseract’s energy there may not be a minimum safe distance.,The Avengers
3209,NICK FURY,I need you to make sure the Phase Two prototypes are shipped out.,The Avengers
3210,MARIA HILL,"Sir, is that really a priority right now? ",The Avengers
3211,NICK FURY,Until such time as the world ends we will act as though it intends to spin on. Clear out the tech below. Every piece of Phase Two on a truck and gone.,The Avengers
3212,MARIA HILL,"Yes, Sir. With me.",The Avengers
3213,NICK FURY,"Talk to me, Doctor. ",The Avengers
3214,ERIK SELVIG,Director.,The Avengers
3215,NICK FURY,Is there anything we know for certain?,The Avengers
3216,ERIK SELVIG,The Tesseract is misbehaving.,The Avengers
3217,NICK FURY,Is that supposed to be funny?,The Avengers
3218,ERIK SELVIG,"No, it’s not funny at all. The Tesseract is not only active, she’s misbehaving. ",The Avengers
3219,NICK FURY,How soon can you pull the plug?,The Avengers
3220,ERIK SELVIG,"She’s an energy source. We turn off the power, she turns it back on. If she reaches peak level- ",The Avengers
