Unnamed: 0,character,line,movie
14636,CLINT BARTON,"Okay, you see where you’re going? Let’s work on how to get there. Okay, good...tip down...bow arm out...three fingers- ",Avengers: Endgame
14637,LILA BARTON,Why three?,Avengers: Endgame
14638,CLINT BARTON,‘Cause two’s not enough and four’s too much-,Avengers: Endgame
14639,LAURA BARTON,"You guys want mustard or mayo, or both?",Avengers: Endgame
14640,LILA BARTON,Who puts mayo on a hot dog?,Avengers: Endgame
14641,CLINT BARTON,"We’ll both have mustard, hon!  Okay.  Draw back, deep breath... Good job, Hawkeye.  Go get your arrow. ",Avengers: Endgame
14642,LAURA BARTON,Enough murder practice!  Soup’s on!,Avengers: Endgame
14643,CLINT BARTON,"One sec, babe.  Be right there! We’re gonna kill some hot dogs. We’re hungry. Lila?  Babe, did you see Lila-  Guys?  Guys, come on...  Laura? LAURA!",Avengers: Endgame
14644,TONY STARK,Good sport.  Have fun?,Avengers: Endgame
14645,NEBULA,It was fun.,Avengers: Endgame
14646,TONY STARK,"This thing on?  Hey, Ms. Potts. Pep.  If you find this recording, don’t post it on social media. It’s going to be a real tearjerker. I don’t know if you’re ever going to see these.  I don’t even know if you’re still...God, I hope so. Today’s day twenty-one, no...twenty- two. You know, if it wasn’t for the existential terror of staring into the literal void of space, I’d say I’m feeling a little better today. Infection’s run its course, thanks to the Blue Meanie back there. You’d like her.  She’s very practical.  And only a tiny bit sadistic.  The fuel cells were cracked during battle, but we figured out a way to reverse the ion charge.  Bought ourselves about 48 hours of flight time.  Problem is that was about...49 hours ago.  Which means, we’re dead in the water.  A thousand light years from the nearest 7-11. Most of the quote-unquote ‘food’ and potable water ran out two weeks ago. Pep, I know I said no more surprises.  But, I gotta say, I was really hoping to pull off one last one.  But it looks like...well, you know what it looks like. Don’t feel bad about this.  I mean, actually, if you grovel for a couple weeks, and then move on with enormous guilt...I should probably lie down for a minute, rest my eyes.  Please know, when I drift off, it will be like every day lately.  I’m fine, totally fine. I’m going to dream about you.  It’s always you. I couldn’t stop him.",Avengers: Endgame
14647,STEVE ROGERS,Neither could we.,Avengers: Endgame
14648,TONY STARK,I lost the kid.,Avengers: Endgame
14649,STEVE ROGERS,We...lost...,Avengers: Endgame
14650,TONY STARK,Is Pepper...?,Avengers: Endgame
14651,PEPPER POTTS,"Stay here, you stay right here- ",Avengers: Endgame
14652,TONY STARK,I’m not going anywhere.,Avengers: Endgame
14653,JAMES RHODES,It’s been twenty-three days since Thanos came to Earth.,Avengers: Endgame
14654,NATASHA ROMANOFF,"World governments are in pieces, as you can imagine.  But the parts that still work are trying to take a census.  It looks like he did what he said he was going to do. Thanos wiped out fifty percent of all the living creatures on Earth.",Avengers: Endgame
14655,CAROL DANVERS,Not just Earth.,Avengers: Endgame
14656,JAMES RHODES,You sure about that?,Avengers: Endgame
14657,CAROL DANVERS,You never have to ask me that.,Avengers: Endgame
14658,TONY STARK,Where is he now?,Avengers: Endgame
14659,STEVE ROGERS,We don’t know.  He just opened a portal and walked through.,Avengers: Endgame
14660,TONY STARK,What’s his deal?,Avengers: Endgame
14661,ROCKET,"He’s pissed. He thinks he failed.  Which, of course, he did.  But there’s a lot of that going around, ain’t there? ",Avengers: Endgame
14662,TONY STARK,"Until this second, I literally thought you were a Build-a-Bear. ",Avengers: Endgame
14663,STEVE ROGERS,"We’ve been hunting Thanos for three weeks - deep space scans, satellites - we got nothing.  Tony, you fought him- ",Avengers: Endgame
14664,TONY STARK,"Who told you that?  I didn’t fight him, he wiped my face with a planet while a Bleecker Street magician gave away the store.  There was no fight because he’s not beatable. ",Avengers: Endgame
14665,STEVE ROGERS,"Did he give you anything to go on? Clues, coordinates- ",Avengers: Endgame
14666,TONY STARK,"I saw this coming, few years back. Didn’t wanna believe.  I thought I was dreaming... ",Avengers: Endgame
14667,STEVE ROGERS,"Tony, I need you to focus- ",Avengers: Endgame
14668,TONY STARK,"And I needed you, as in past tense. That trumps what you need.  It’s too late, buddy.  You know what I need? I need a shave and a burger, not a bowl of soup. And I believe I remember telling all of you, alive and otherwise, that we needed a suit of armor around the world, whether it impacted our precious freedoms or not- ",Avengers: Endgame
14669,STEVE ROGERS,"But that didn’t work out, did it? ",Avengers: Endgame
14670,TONY STARK,"I said we’d lose, you said we’d “do that together, too.”  Guess what, Cap, we lost, and you weren’t there.  But that’s what we do, right?  Our best work after the fact?  We’re the “Avengers”, not the “Pre-vengers-” ",Avengers: Endgame
14671,JAMES RHODES,"Tony, take it easy... ",Avengers: Endgame
14672,TONY STARK,"I’ve got nothing for ya, Cap.  No coordinates, no clues, no strategies, no options.  Zero, zip, nada.  No trust.  Here.  You take this.  You find him, you put this on, and hide.  I’m fine! ",Avengers: Endgame
