Unnamed: 0,character,line,movie
12998,ASGARDIAN PA,"This is the Asgardian refugee vessel Statesman. We are under assault, I repeat, we are under assault - The engines are dead, life support failing. Requesting aid from any vessel within range. We are 22 jump points out of Asgard.  Our crew is made up of Asgardian families, we have very few soldiers here. This is not a warcraft. I repeat, this is not a warcraft!",Avengers: Infinity War
12999,EBONY MAW,"Hear me, and rejoice. You have had the privilege of being saved by the Great Titan.... You may think this is suffering... no. It is salvation. Universal scales tip toward balance because of your sacrifice. Smile...  for even in death, you have become Children of Thanos.",Avengers: Infinity War
13000,THANOS,"I know what it's like to lose. To feel so desperately that you're right... yet to fail, nonetheless.  It's frightening. Turns the legs to jelly. I ask you, to what end? Dread it. Run from it. Destiny arrives all the same. And now, it's here. Or should I say... I AM.",Avengers: Infinity War
13001,THOR,You talk too much.,Avengers: Infinity War
13002,THANOS,"The Tesseract, or your brother's head. I assume you have a preference.",Avengers: Infinity War
13003,LOKI,"Oh, I do. Kill away! ALL RIGHT, STOP!",Avengers: Infinity War
13004,THOR,We don't have the Tesseract. It was destroyed on Asgard. You really are the worst brother.,Avengers: Infinity War
13005,LOKI,"I assure you, brother... the sun will shine on us again.",Avengers: Infinity War
13006,THANOS,"Your optimism is misplaced, Asgardian.",Avengers: Infinity War
13007,LOKI,"Well, for one thing, I'm not Asgardian. And for another... we have a Hulk.",Avengers: Infinity War
13008,EBONY MAW,Let him have his fun.,Avengers: Infinity War
13009,HEIMDALL,Allfathers… let the dark magic flow through me one last... time.,Avengers: Infinity War
13010,THANOS,That was a mistake.,Avengers: Infinity War
13011,THOR,NO!!!  You're going to die for that!,Avengers: Infinity War
13012,EBONY MAW,"Shh. My humble personage… bows before your grandeur. No other being has ever had the might, nay the nobility, to wield not one, but two Infinity Stones. The universe lies within your grasp.",Avengers: Infinity War
13013,THANOS,"There are two more Stones on Earth. Find them, my children, and bring them to me on Titan.",Avengers: Infinity War
13014,PROXIMA MIDNIGHT,"Father, we will not fail you.",Avengers: Infinity War
13015,CULL OBSIDIAN,"We're going to New York City and We will tear The Avengers Apart and Smash! Once and for all, my lord.",Avengers: Infinity War
13016,LOKI,"If I might interject… if you're going to Earth, you might want a guide. I do have a bit of experience in that arena.",Avengers: Infinity War
13017,THANOS,If you consider failure experience.,Avengers: Infinity War
13018,LOKI,"I consider experience, experience. Almighty Thanos, I... Loki... Prince of Asgard...  Odinson... the rightful King of Jotunheim... God of Mischief... do hereby pledge to you, my undying fidelity.",Avengers: Infinity War
13019,THANOS,"""Undying?"" You should choose your words more carefully.",Avengers: Infinity War
13020,LOKI,You will... never be... a god.,Avengers: Infinity War
13021,THOR,NO!,Avengers: Infinity War
13022,THANOS,No resurrections this time.,Avengers: Infinity War
13023,THOR,No… Loki….,Avengers: Infinity War
13024,STEPHEN STRANGE,Seriously? You don't have any money?,Avengers: Infinity War
13025,WONG,Attachment to the material is detachment from the spiritual.,Avengers: Infinity War
13026,STEPHEN STRANGE,I'll tell the guys at the deli.  Maybe they'll make you a metaphysical ham on rye.,Avengers: Infinity War
13027,WONG,"Oh, wait, wait, wait, I think I have 200.",Avengers: Infinity War
13028,STEPHEN STRANGE,Dollars?,Avengers: Infinity War
13029,WONG,Rupees.,Avengers: Infinity War
13030,STEPHEN STRANGE,Which is?,Avengers: Infinity War
13031,WONG,"Uh, buck and a half.",Avengers: Infinity War
13032,STEPHEN STRANGE,What do you want?,Avengers: Infinity War
13033,WONG,I wouldn't say no to a tuna melt.,Avengers: Infinity War
13034,BRUCE BANNER,Thanos is coming. He's coming...,Avengers: Infinity War
13035,STEPHEN STRANGE,Who?,Avengers: Infinity War
13036,TONY STARK,"Slow down, slow down. I'm totally not kidding.",Avengers: Infinity War
13037,PEPPER POTTS,You're totally rambling.,Avengers: Infinity War
13038,TONY STARK,"No, I'm not.",Avengers: Infinity War
13039,PEPPER POTTS,Lost me.,Avengers: Infinity War
13040,TONY STARK,"Look, you know how you're having a dream, and in the dream you gotta pee?",Avengers: Infinity War
13041,PEPPER POTTS,Yeah.,Avengers: Infinity War
13042,TONY STARK,"Okay, and then you're like, 'Oh my god, there's no bathroom, what am I gonna do?', 'Oh! Someone's watching,' ''m gonna go in my pants.'",Avengers: Infinity War
13043,PEPPER POTTS,"Right. And then you wake up, and in real life you actually have to pee.",Avengers: Infinity War
13044,TONY STARK,Yes.,Avengers: Infinity War
13045,PEPPER POTTS,Yeah. Everybody has that.,Avengers: Infinity War
13046,TONY STARK,"Right! That's the point I'm trying to make. Apropos of that, last night, I dreamt, we had a kid. So real. We named him after your eccentric uncle. Uh, what was his name?",Avengers: Infinity War
13047,PEPPER POTTS,Right.,Avengers: Infinity War
13048,TONY STARK,Morgan! Morgan.,Avengers: Infinity War
13049,PEPPER POTTS,"So you woke up, and thought that we were...",Avengers: Infinity War
13050,TONY STARK,Expecting.,Avengers: Infinity War
13051,PEPPER POTTS,Yeah.,Avengers: Infinity War
13052,TONY STARK,Yes?,Avengers: Infinity War
13053,PEPPER POTTS,No.,Avengers: Infinity War
13054,TONY STARK,I had a dream about it. It was so real.,Avengers: Infinity War
13055,PEPPER POTTS,"If you wanted to have a kid, you wouldn't have done that.",Avengers: Infinity War
13056,TONY STARK,"I'm glad you brought this up, 'cause it's nothing. It's just a housing unit for nano particles.",Avengers: Infinity War
13057,PEPPER POTTS,"It's not helping your case, OK?",Avengers: Infinity War
13058,TONY STARK,"No, no, it's an attachment, it's not a-",Avengers: Infinity War
13059,PEPPER POTTS,You don't need that.,Avengers: Infinity War
13060,TONY STARK,"I know. I had the surgery. I'm just trying to protect us. The future uses, and that's it. Just in case there's a monster in the closet, instead of, you know...",Avengers: Infinity War
13061,PEPPER POTTS,Shirts?,Avengers: Infinity War
13062,TONY STARK,You know me so well. You finish all my sentences.,Avengers: Infinity War
13063,PEPPER POTTS,You should have shirts in your closet.,Avengers: Infinity War
13064,TONY STARK,Yeah. You know what there should be? No more surprises. We're gonna have a nice dinner tonight. Show off this Harry Win-stone. Right? And we should have no more surprises. Ever. I should promise you.,Avengers: Infinity War
13065,PEPPER POTTS,Yes.,Avengers: Infinity War
13066,TONY STARK,I will.,Avengers: Infinity War
13067,STEPHEN STRANGE,"Tony Stark, I'm Doctor Stephen Strange. I need you to come with me. Oh, uh, congratulations on the wedding, by the way.",Avengers: Infinity War
13068,TONY STARK,"I'm sorry, you giving out tickets or something?",Avengers: Infinity War
13069,STEPHEN STRANGE,"We need your help. Look, it's not overselling to say that the fate of the universe is at stake.",Avengers: Infinity War
13070,TONY STARK,"And who's ""we""?",Avengers: Infinity War
13071,BRUCE BANNER,"Hey, Tony.",Avengers: Infinity War
13072,TONY STARK,Bruce.,Avengers: Infinity War
13073,BRUCE BANNER,Pepper.,Avengers: Infinity War
13074,PEPPER POTTS,Hi.,Avengers: Infinity War
13075,TONY STARK,You okay?,Avengers: Infinity War
13076,WONG,"From the dawn of the universe, there was nothing. Then, boom! The Big Bang sent six elemental crystals, hurtling across the virgin universe. These Infinity Stones each control an essential aspect of existence.",Avengers: Infinity War
13077,STEPHEN STRANGE,Space. Reality. Power. Soul. Mind. And Time.,Avengers: Infinity War
13078,TONY STARK,Tell me his name again.,Avengers: Infinity War
13079,BRUCE BANNER,"Thanos. He's a plague, Tony. He invades planets. He takes what he wants. He wipes out half the population. He sent Loki. The attack on New York. That's him.",Avengers: Infinity War
13080,TONY STARK,This is it... What's our timeline?,Avengers: Infinity War
13081,BRUCE BANNER,"No telling. He has the Power and Space Stones, that already makes him the strongest creature in the whole universe. If he gets his hands, on all six Stones, Tony...",Avengers: Infinity War
13082,STEPHEN STRANGE,He can destroy life on a scale hitherto undreamt of.,Avengers: Infinity War
13083,TONY STARK,"Did you seriously just say ""hitherto undreamt of""?",Avengers: Infinity War
13084,STEPHEN STRANGE,Are you seriously leaning on the Cauldron of the Cosmos?,Avengers: Infinity War
13085,TONY STARK,"Is that what this is.... ? I'm going to allow that. If Thanos needs all six, why don't we just stick this one down the garbage disposal?",Avengers: Infinity War
13086,STEPHEN STRANGE,No can do.,Avengers: Infinity War
13087,WONG,We swore an oath to protect the Time Stone. With our lives.,Avengers: Infinity War
13088,TONY STARK,"And I swore off dairy, but then, Ben & Jerry's named a flavor after me, so....",Avengers: Infinity War
13089,STEPHEN STRANGE,Stark Raving Hazelnuts.,Avengers: Infinity War
13090,TONY STARK,It's not bad.,Avengers: Infinity War
13091,STEPHEN STRANGE,A bit chalky.,Avengers: Infinity War
13092,WONG,A Hunka-Hulka Burning Fudge is our favorite.,Avengers: Infinity War
13093,BRUCE BANNER,That's a thing?,Avengers: Infinity War
13094,TONY STARK,Whatever. Point is: things change.,Avengers: Infinity War
13095,STEPHEN STRANGE,Our oath to protect the Time Stone cannot change. This Stone may be the best chance we have against Thanos.,Avengers: Infinity War
13096,TONY STARK,"And still conversely, it may also be his best chance against us.",Avengers: Infinity War
13097,STEPHEN STRANGE,"Well, if we don't do our jobs.",Avengers: Infinity War
13098,TONY STARK,"What is your job exactly, besides making balloon animals?",Avengers: Infinity War
13099,STEPHEN STRANGE,"Protecting your reality, douchebag.",Avengers: Infinity War
13100,BRUCE BANNER,"Okay, guys, could we table this discussion right now? The fact is that we have this Stone. We know where it is. Vision is out there somewhere with the Mind Stone, and we have to find him now.",Avengers: Infinity War
13101,TONY STARK,"Yeah, that's the... thing.",Avengers: Infinity War
13102,BRUCE BANNER,What do you mean?,Avengers: Infinity War
13103,TONY STARK,"Two weeks ago, Vision turned off his transponder. He's offline.",Avengers: Infinity War
13104,BRUCE BANNER,"What? Tony, you lost another super bot?",Avengers: Infinity War
13105,TONY STARK,I didn't lose him. He's more than that. He's evolving.,Avengers: Infinity War
13106,STEPHEN STRANGE,"Who could find Vision, then?",Avengers: Infinity War
13107,TONY STARK,Shit.  Probably Steve Rogers.,Avengers: Infinity War
13108,STEPHEN STRANGE,"Oh, great.",Avengers: Infinity War
13109,TONY STARK,Maybe. But...,Avengers: Infinity War
13110,BRUCE BANNER,Call him.,Avengers: Infinity War
13111,TONY STARK,"It's not that easy. God, we haven't caught up in a spell, have we?",Avengers: Infinity War
13112,BRUCE BANNER,No.,Avengers: Infinity War
13113,TONY STARK,The Avengers broke up. We're toast.,Avengers: Infinity War
