Unnamed: 0,character,line,movie
6653,ANNOUNCER,Report to your stations immediately. This is not a drill. We are under attack. We are under attack.,Avengers: Age of Ultron
6654,TONY STARK,Shit!,Avengers: Age of Ultron
6655,STEVE ROGERS,"Language! JARVIS, what's the view from upstairs?",Avengers: Age of Ultron
6656,JARVIS,The central building is protected by some kind of energy shield. Strucker's technology is well beyond any other Hydra base we've taken.,Avengers: Age of Ultron
6657,THOR,Loki's scepter must be here. Strucker couldn't mount this defense without it. At long last.,Avengers: Age of Ultron
6658,NATASHA ROMANOFF,"At long last is lasting a little long, boys.",Avengers: Age of Ultron
6659,CLINT BARTON,Yeah. I think we lost the element of surprise.,Avengers: Age of Ultron
6660,TONY STARK,"Wait a second. No one else is going to deal with the fact that Cap just said ""language?""",Avengers: Age of Ultron
6661,STEVE ROGERS,I know. It just slipped out.,Avengers: Age of Ultron
6662,BARON WOLFGANG VON STRUCKER,Who gave the order to attack?,Avengers: Age of Ultron
6663,FORTRESS SOLDIER,"Herr Strucker, it's the Avengers. They landed in the far woods, the perimeter guard panicked.",Avengers: Age of Ultron
6664,BARON WOLFGANG VON STRUCKER,They have to be after the scepter.  Can we hold them?,Avengers: Age of Ultron
6665,FORTRESS SOLDIER,They're the Avengers...,Avengers: Age of Ultron
6666,BARON WOLFGANG VON STRUCKER,Deploy the rest of the tanks.,Avengers: Age of Ultron
6667,FORTRESS SOLDIER,"Yes, sir.",Avengers: Age of Ultron
6668,BARON WOLFGANG VON STRUCKER,Concentrate fire on the weak ones. A hit can make them close ranks. Everything we've accomplished. But we're on the verge of our greatest breakthrough.,Avengers: Age of Ultron
6669,DR. LIST,Then let's show them what we've accomplished. Send out the twins.,Avengers: Age of Ultron
6670,BARON WOLFGANG VON STRUCKER,It's too soon.,Avengers: Age of Ultron
6671,DR. LIST,It's what they signed up for.,Avengers: Age of Ultron
6672,BARON WOLFGANG VON STRUCKER,My men can hold them.,Avengers: Age of Ultron
6673,JARVIS,"Sir, the city is taking fire.",Avengers: Age of Ultron
6674,TONY STARK,"Well, we know Strucker's not going to worry about civilian casualties. Send in the Iron Legion.",Avengers: Age of Ultron
6675,IRON LEGION,This quadrant is unsafe. Please back away. We are here to help. This quadrant is unsafe. Please back away. Please back away. We wish to avoid collateral damage and will inform you when this current conflict is resolved. We are here to help. We are here to help.,Avengers: Age of Ultron
6676,BARON WOLFGANG VON STRUCKER,"We will not yield! The Americans sent their circus freaks to test us. We will send them back, in bags. No Surrender!",Avengers: Age of Ultron
6677,SOLDIERS,No Surrender!,Avengers: Age of Ultron
6678,BARON WOLFGANG VON STRUCKER,"I am going to surrender. You will delete everything. If we give the Avengers the weapons, they may not look too far into what we've been...",Avengers: Age of Ultron
6679,DR. LIST,The twins.,Avengers: Age of Ultron
6680,BARON WOLFGANG VON STRUCKER,They are not ready to take on...,Avengers: Age of Ultron
